Nom_Fichier,Artiste,Cluster_ID,Distance_Centroide,Score_Silhouette
burroughs_1.jpg,Burroughs,23,5.2242,-0.0289
buthe_1.jpg,Buthe,3,7.429,0.0637
calima_1.jpg,Calima,1,7.7202,-0.0782
calima_2.jpg,Calima,8,7.3825,0.0275
cane_1.jpg,Cane,6,5.2637,-0.0067
capogrossi_1.jpg,Capogrossi,9,7.0186,0.0005
capogrossi_5.jpg,Capogrossi,15,5.4644,0.0399
cappa_1.jpg,Cappa,20,6.8391,-0.1923
carlsund_1.jpg,Carlsund,19,5.4617,0.1712
cassel_1.jpg,Cassel,2,7.8995,-0.0627
cassel_2.jpg,Cassel,18,7.3836,-0.0336
cassel_3.jpg,Cassel,27,7.1431,-0.0325
castellani_1.jpg,Castellani,6,6.8163,0.0653
castellani_2.jpg,Castellani,9,8.3126,-0.0536
chagall_1.jpg,Chagall,11,7.7823,-0.1425
chardon_1.jpg,Chardon,8,7.3766,0.0023
charlton_1.jpg,Charlton,19,7.7448,0.179
chesnier_1.jpg,Chesnier,10,8.9566,0.0302
choi_1.jpg,Choi,6,6.0675,0.0061
choi_2.jpg,Choi,16,7.3999,-0.0563
choi_3.jpg,Choi,16,7.5273,0.0317
clark_1.jpg,Clark,4,4.7402,0.0833
clement_1.jpg,Clement,6,6.8096,0.0114
clough_1.jpg,Clough,3,4.4288,-0.0277
colombet_1.jpg,Colombet,28,4.5243,-0.0632
colombet_2.jpg,Colombet,24,3.9137,-0.0307
colombet_3.jpg,Colombet,4,4.3005,0.099
colombet_4.jpg,Colombet,24,4.2715,0.0481
colombet_5.jpg,Colombet,16,5.8633,0.0694
colombet_6.jpg,Colombet,4,4.8416,0.0844
colquhoun_1.jpg,Colquhoun,3,7.2908,-0.022
colquhoun_2.jpg,Colquhoun,7,7.2141,0.0034
colquhoun_3.jpg,Colquhoun,16,6.0772,-0.0628
colquhoun_4.jpg,Colquhoun,20,6.1946,-0.0453
colquhoun_5.jpg,Colquhoun,6,6.6056,-0.0004
colquhoun_6.jpg,Colquhoun,6,5.7577,0.0075
condo_1.jpg,Condo,17,6.7803,-0.0869
condo_10.jpg,Condo,4,5.0466,0.0772
condo_20.jpg,Condo,4,4.5196,0.0763
condo_21.jpg,Condo,4,3.9755,0.1063
condo_3.jpg,Condo,3,5.8146,0.0076
condo_30.jpg,Condo,4,4.5048,0.0974
condo_33.jpg,Condo,4,4.6736,0.1062
condo_42.jpg,Condo,6,5.9512,0.037
condo_49.jpg,Condo,9,7.5998,0.0327
condo_50.jpg,Condo,9,6.6588,-0.0286
condo_51.jpg,Condo,25,6.0507,-0.0751
condo_53.jpg,Condo,6,4.9837,-0.0269
condo_58.jpg,Condo,6,4.9495,0.0063
condo_60.jpg,Condo,6,4.8375,0.0033
condo_73.jpg,Condo,9,7.5674,-0.0066
conner_1.jpg,Conner,4,5.6984,0.0594
conner_2.jpg,Conner,29,7.0734,-0.0693
covert_1.jpg,Covert,16,4.874,-0.0561
crepin_1.jpg,Crepin,27,5.6971,-0.0288
crepin_2.jpg,Crepin,15,5.1571,-0.0169
crotti_1.jpg,Crotti,18,7.9395,-0.0089
crotti_2.jpg,Crotti,3,7.2284,0.0154
cruz-diez_1.jpg,Cruz-diez,9,9.8972,-0.0346
culbert_1.jpg,Culbert,22,7.1196,-0.1106
culbert_2.jpg,Culbert,26,6.234,-0.0932
culbert_3.jpg,Culbert,3,6.0902,0.0347
culbert_4.jpg,Culbert,6,6.1176,0.0388
culin_1.jpg,Culin,3,7.587,-0.0208
dali_1.jpg,Dali,16,5.7955,0.011
damoah_1.jpg,Damoah,3,6.7874,0.052
damoah_2.jpg,Damoah,26,7.2284,-0.0877
damoah_3.jpg,Damoah,4,5.0459,0.1208
de-bary_1.jpg,De-bary,16,7.4896,0.0267
de-dominicis_1.jpg,De-dominicis,17,6.8472,-0.073
de-kooning_13.jpg,De-kooning,23,3.8944,-0.0285
de-kooning_16.jpg,De-kooning,27,4.8477,-0.039
de-kooning_3.jpg,De-kooning,20,5.0248,-0.0379
