nom,classe,x,y
dubuffet_4.jpg,7,7.421041,-17.838253
dubuffet_5.jpg,4,-19.431448,1.5374202
dubuffet_7.jpg,6,-28.828627,5.42841
dubuffet_8.jpg,4,-33.599514,-4.4321947
dubuffet_9.jpg,10,-34.18998,-3.0574837
dulom_1.jpg,8,12.882379,21.087576
dumitresco_1.jpg,4,-19.4675,-1.5688865
dumitresco_2.jpg,10,-11.870581,-17.365229
dupre_1.jpg,4,-26.484306,-7.937178
durieu_1.jpg,13,33.10368,7.113775
durieu_2.jpg,10,-3.468432,5.022766
el-anatsui_1.jpg,4,-22.87472,-5.8419213
el-anatsui_2.jpg,4,-26.778463,2.0174458
el-lissitzky_1.jpg,0,9.000039,18.596718
el-lissitzky_2.jpg,8,11.648447,0.8295446
el-lissitzky_3.jpg,13,6.2343297,16.28167
el-lissitzky_4.jpg,6,3.2237148,16.16611
el-lissitzky_5.jpg,1,17.08901,-8.502889
el-lissitzky_6.jpg,0,8.905778,18.436604
el-lissitzky_7.jpg,2,3.1527338,19.668453
el-lissitzky_8.jpg,5,20.288252,17.65393
ermolaeva_1.jpg,2,-0.06434551,16.75239
ernst_1.jpg,11,12.260814,-17.022379
ernst_10.jpg,11,13.497867,-18.906137
ernst_11.jpg,11,12.189312,-16.97133
ernst_12.jpg,10,11.545514,-12.051289
ernst_13.jpg,6,-8.724218,12.242783
ernst_14.jpg,10,-24.463144,-1.9666977
ernst_15.jpg,10,11.49688,-11.907743
ernst_18.jpg,10,-7.216565,-1.2204542
ernst_25.jpg,9,2.1045392,8.260046
ernst_26.jpg,9,1.5921016,8.456118
ernst_3.jpg,10,-14.451214,-10.212354
ernst_33.jpg,7,2.6739175,-18.906122
ernst_5.jpg,3,2.8234513,11.140621
ernst_8.jpg,10,-5.2697606,2.3595917
erruas_1.jpg,2,-3.314978,1.2496324
esteve_1.jpg,9,10.567108,4.964474
esteve_2.jpg,9,10.348633,23.642351
fangor_1.jpg,8,15.23794,2.7907019
farmanfarmaian_1.jpg,13,27.522594,14.866359
farmanfarmaian_2.jpg,13,27.52485,14.87197
fautrier_11.jpg,10,-7.5505724,4.0079427
